word,derivation
मार,"[' 3 1 134  इत्यनेन सूत्रेण `अच्  प्रत्यये, मृजेर्वृद्धिः  7 2 114  इत्यनेन']"
मार,['ऋकारस्य वृद्धौ `मार  इति रूपं भवति ।']
मार,"['मारयति इति मारः इत्यस्मिन्नर्थे,  मृ धातोः नन्दिग्राहपचादिभ्योल्युणिन्यचः']"
मार,"['म्रियन्ते अनेन इत्यस्मिन्नर्थे, `मृङ् प्राणत्यागे  इति धातो  अकर्तरि च कारके']"
मार,"['संज्ञायां   3 3 19  इत्यनेन सूत्रेण घञ् प्रत्यये, मृजेर्वृद्धिः  7 2 117']"
मार,['सूत्रेण ऋकारस्य वृद्धौ मार इति रूपं भवति ।']
प्रद्युम्न,"['प्रकृष्टं द्युम्नं यस्य स इति विग्रहे,  अनेकमन्यपदार्थे   2 2 24  इत्यनेन']"
प्रद्युम्न,['सूत्रेण  बहुव्रीहि  समासत्वात् `प्रद्युम्न  इति रूपं सिध्यति ।']
मीनकेतन,"['मीनं केतनं यस्य सः इति विग्रहे,  अनेकमन्यपदार्थे   2 2 24  इत्यनेन']"
मीनकेतन,['सूत्रेण  बहुव्रीहि  समासत्वात् `मीनकेतन  इति रूपं भवति ।']
कन्दर्प,"[' 3 1 134  इत्यनेन सूत्रेण अच् प्रत्यये, `कन्दर्प  इति रूपं भवति ।']"
कन्दर्प,['`कम्  इत्यव्यथे कुत्सायाम् । कुत्सितो दर्पो अस्य अथवा कं सुखं तेन वा']
कन्दर्प,"['दृष्यति इति विग्रहे दृप हर्षमोहनयोः इति धातोः, नन्दिग्राहिपचादिभ्योल्युणिन्यचः']"
दर्पक,"['`ण्वुल्  प्रत्यये,  युवोरनाकौ   7 1 1  इत्यनेन सूत्रेण `अक्  प्रत्यये च']"
दर्पक,['`दर्पक  इति रूपं भवति ।']
दर्पक,['`दृप हर्षमोहनयोः  इति धातोः `ण्वुल्\u200cतृचौ   3 1 133  इत्यनेन सूत्रेण']
अनङ्ग,[' व.2 2 24  इत्यनेन सूत्रेण  बहुव्रीहि  समासत्वात् `अनङ्ग  इति रूपं सिध्यति ।']
अनङ्ग,"['न अङ्गं अस्यास्तीति विग्रहे,  नञो।़स्त्यर्थानां वाच्यो वा चोलरपदलोपः']"
काम,"['काम्यते अनेन इति विग्रहे,  पुंसिसंज्ञायां घः प्रायेण   3 3 118  इत्यनेन']"
काम,['सूत्रेण घः प्रत्यये `काम  इति रूपं सिध्यति ।']
पञ्चशर,[' बहुव्रीहि  समासत्वात् `पञ्चशर  इति रूपं सिध्यति ।']
पञ्चशर,"['पञ्च शराः यस्य सः इति विग्रहे,  अनेमन्यपदार्थे   2 2 24  इत्यनेन सूत्रेण']"
स्मर,['सूत्रेण `घः  प्रत्यये `स्मर  इति रूपं सिध्यति ।']
स्मर,"['स्मर्यते अनेन इति विग्रहे,  पुंसि संज्ञायां घः प्रायेण   3 3 118  इत्यनेन']"
मनसिज,"['इत्यनेन सूत्रेण डः प्रत्यये,  तत्पुरुषे कृति बहुलं   6 3 14  इत्यनेन सूत्रेण']"
मनसिज,"['मनसि इत्यत्र विद्यमानस्य `डिः  प्रत्ययस्य अलुकि, `मनसिज  इति रूपं भवति ।']"
मनसिज,"['मनसि जायते इत्यस्मिन्नर्थे, `जन  धातोः, `सप्तम्यां जनेर्डः   3 2 97']"
कुसुमेषु,"['कुसुमानि एव इषवः यस्य सः इति विग्रहे,  अनेकमन्यपदार्थे  2 2 24  इत्यनेन']"
कुसुमेषु,['सूत्रेण  बहुव्रीहि  समासत्वात् `कुसुमेषु  इति रूपं सिध्यति ।']
अनन्यज,['जनेर्डः  3 2 97  इत्यनेन सूत्रेण डः प्रत्यये `अनन्यज  इति रूपं भवति ।']
अनन्यज,"['न अन्यः इति विग्रहे, `तस्मान्नुडचि   6 3 74  इत्यनेन सूत्रेण  नञ् तत्पुरुष']"
अनन्यज,"['समासत्वात् अनन्य इति रूपं भवति । तस्मात् जायते इति विग्रहे, जन धातोः सप्तम्यां']"
पुष्पधन्वन्,"['`बहुव्रीहि  समासत्वात् `अनङ्  प्रत्यये, `पुष्पधन्वा  इति रूपं सिध्यति ।']"
पुष्पधन्वन्,"['पुष्पं धनुः अस्य इति विग्रहे,  वा संज्ञायां   5 4 133  इत्यनेन सूत्रेण']"
रतिपति,['`रतिपति  इति रूपं सिध्यति ।']
रतिपति,"['रतेः पतिः इति विग्रहे,  षष्ठी   2 2 8  इत्यनेन सूत्रेण  तत्पुरुष  समासत्वात्']"
मकरध्वज,[' बहुव्रीहि  समासत्वात् मकरध्वज इति रूपं सिध्यति ।']
मकरध्वज,"['मकरः ध्वजो यस्य इति विग्रहे,  अनेकमन्यपदार्थे   2 2 24  इत्यनेन सूत्रेण']"
ब्रह्मसू,"['क्विप् प्रत्यये, `ब्रह्मसू  इति रूपं सिध्यति ।']"
ब्रह्मसू,['ब्रह्म शब्दात् `षू प्रेरणे  इति धातोः  क्विप् च   3 2 76  इत्यनेन सूत्रेण']
अनिरुद्ध,"['`न विरुद्धः  इति विग्रह, `नञ्   2 2 6  इत्यनेन सूत्रेण  नञ् तत्पुरुष']"
अनिरुद्ध,['`नि  उपसर्ग पूर्वक रुध् धातोः  रुधिर् आवरणे  `निष्ठा   3 2 102  इत्यनेन']
अनिरुद्ध,['समासत्वात् `अनिरुद्ध  इति रूपं भवति ।']
अनिरुद्ध,"['सूत्रेण कर्मणि क्तः प्रत्यये, निरुद्धः इति रूपं भवति ।']"
उषापति,"['`उषायाः पतिः  इति विग्रहे,  षष्ठी   2 2 8  इत्यनेन सूत्रेण  तत्पुरुष']"
उषापति,['समासत्वात् उषापति इति रूपं सिध्यति ।']
लक्ष्मी,[' उ.3 160  इत्यनेन सूत्रेण `ईः  प्रत्यये मडागमे च लक्ष्मी इति रूपं सिध्यति ।']
लक्ष्मी,"['`लक्ष दर्शनाङ्कनयोः  इति धातोः चुरादित्वात् `ई  प्रत्यये,  लक्षेर्मुट् च']"
पद्मालया,[' बहुव्रीहि  समासत्वात् `पद्मालया  इति रूपं सिध्यति ।']
पद्मालया,"['पद्मं आलयो यस्याः सा इति विग्रहे,  अनेकमन्यपदार्थे   2 2 24  इत्यनेन सूत्रेण']"
पद्मा,"['पद्मं अस्ति अस्याः इति विग्रहे,  अर्शादिभ्यो।़च्   5 2 127  इत्यनेन']"
पद्मा,['सूत्रेण अच् प्रत्यये `पद्मा  इति रूपं भवति ।']
कमला,"['अच् प्रत्यये,  अजाद्यदष्टाप्   4 1 4  इत्यनेन `टा  प्रत्यये च `कमला  इति']"
कमला,"['कमलं अस्य अस्याः इति विग्रहे,  अर्शआदिभ्यो।़च्   5 2 127  इत्यनेन सूत्रेण']"
कमला,['कमला इति रूपं सिध्यति ।']
कमला,['काम्यते असौ इत्यस्मिन्नर्थे कम शब्दात्  वृषादिभ्यश्चित्   उ.  इत्यनेन  उणादि']
कमला,['रूपं सिध्यति ।']
कमला,"['सूत्रेण कलच् प्रत्यये, `अजाद्यदष्टाप्   4 1 4  इत्यनेन सूत्रेण `टा  प्रत्यये,']"
श्री,['दीर्घे `श्री  इति रूपं भवति ।']
श्री,['यातस्तुकटप्रुजुश्रीणां दीर्घो।़संप्रासरणं च   वा.3 2 178  इत्यनेन सूत्रेण']
श्री,['श्रयति हरिं श्रीः इति विग्रहे श्रिञ् सेवायां इति धातोः  क्विप् वाचिप्रच्छा']
हरिप्रिया,['समासत्वात् `हरिप्रिया  इति रूपं सिध्यति ।']
हरिप्रिया,"['हरेः प्रिया इति विग्रहे, `षष्ठी   2 2 8  इत्यनेन सूत्रेण  तत्पुरुष']"
इन्दिरा,[' 4 1 4  इत्यनेन सूत्रेण `टा  प्रत्यये `इन्दिरा  इति रूपं भवति ।']
इन्दिरा,['इन्द्र शब्दात्  इषिमदिमुदिखिदिच्छिदिभिदिमन्दिचान्दितिमिमिहिमुहमुचिरुचिरुधिबन्धि']
इन्दिरा,['शुषिभ्यः किरच्  इत्यनेन उणादि सूत्रेण `किरच्  प्रत्यये अजाद्यतष्टाप्']
रमा,[' 4 1 4  इत्यनेन सूत्रेण `टां  प्रत्यये च `रमा  इति रूपं सिध्यति ।']
रमा,['रमयतीति रमा इत्यस्मिन् अर्थे `रमु क्रीडायां  इति दातोः नन्दिग्राहिपचादिभ्यो']
रमा,"['ल्युणिन्यच   3 2 134  इत्यनेन सूत्रेण अच् प्रत्यये, `अजाद्यतष्टाप्  इत्यनेन']"
पाञ्चजन्य,['आदिवृद्धौ पाञ्चजन्य इति रूपं सिध्यति ।']
पाञ्चजन्य,"['इत्यनेन  वार्तिक  सूत्रेण यञ्,  तद्धितेष्वचामादेः   7 2 117  इत्यनेन सूत्रेण']"
पाञ्चजन्य,"['पञ्चजनाख्ये दैत्यभेदे भवः इत्यस्मिन् अर्थे, पञ्चजनादुपसंख्यानम्  वा. 4 3 58']"
सुदर्शन,['भवति ।']
सुदर्शन,['युज्वायः  वा. 3 3 130  इत्यनेन वार्तिकेन `युच्  प्रत्यये `सुदर्शन  इति रूपं']
सुदर्शन,"['ल्युट् च  3 3 115  इत्यनेन सूत्रेण ल्युट् प्रत्यये, `सुदर्शन  इति रूपं सिध्यति ।']"
सुदर्शन,"['शोभनं दर्शनं अस्य इत्यस्मिन् अर्थे,  भाषायां शासियुधिदृशिमृषिब्यो']"
सुदर्शन,"['सुष्टु दृश्यते इत्यस्मिन्नर्थे, `सु  उपसर्गपूर्वक `दृशिर् प्रेक्षणे  इति धातोः,']"
कौमोदकी,"['इत्यनेन सूत्रेण अण् प्रत्यये, तद्धितेष्वचामादेः  7 2 117  इत्यनेन सूत्रेण आदिवृद्धौ']"
कौमोदकी,"['को मोदकः, इति कुमोदकः, तस्येयं इत्स्मिन्नर्थे  तस्येदम्   4 3 120']"
कौमोदकी,['च कौमोदकी इति रूपं भवति ।']
नन्दक,[' 7 1 1  इत्यनेन सूत्रेण अक प्रत्यये नन्दक इति रूपं सिध्यति ।']
नन्दक,"['इति धातोः  ण्वुल्तृचौ   3 1 133  इत्यनेन सूत्रेण ण्वुल् प्रत्यये, युवोरनाकौ']"
नन्दक,"['नन्दयति देवान् इत्यस्मिन्नर्थे,  टुनदि समृद्धौ   टुनदि  नन्द  समृद्धौ']"
कौस्तुभ,"['अण् प्रत्यये, तद्धितेष्वचामादेः  7 2 117  इत्यनेन सूत्रेण आदिवृद्धौ च `कौस्तुभ']"
कौस्तुभ,['इति रूपं सिध्यति ।']
कौस्तुभ,['उपसंख्यानम्   वा. 3 2 5  इत्यनेन वार्तिकेन  कः  प्रत्यये `कौस्तुभ  इति रूपं']
कौस्तुभ,"['कुं स्तुभ्नाति इत्यस्मिन् अर्थे, तत्रभवः  4 3 52  इत्यनेन सूत्रेण']"
कौस्तुभ,['कौस्तोभते इत्यस्मिन्नर्थे `ष्टुभुस्तम्भे  इति धातोः  कप्रकरणेमूलविभुजातिभ्य']
कौस्तुभ,['सिध्यति ।']
गरुड,"['इत्यनेन सूत्रेण `डः  प्रत्यये, पृषोदरादीनि यथोषदिष्टम्  6 3 207  इत्यनेन सूत्रेण']"
गरुड,['गरुत् शब्दात्  डीङ् विहायसा गतौ  इति धातोः `अन्येष्वपि दृश्यते   3 2 102']
गरुड,"['गरुत् शब्दे विद्यमानस्य तकारस्य लोपे, `गरुड  इति रूपं भवति ।']"
तार्क्ष्य,"['तार्क्षस्य अपत्यं इत्यस्मिन् विग्रहे, गर्गादिभ्यो यञ्  4 1 105  इत्यनेन']"
तार्क्ष्य,['सूत्रेण `यञ्  प्रत्यये तार्क्ष्य इति रूपं भवति ।']
वैनतेय,['इति रूपं भवति ।']
वैनतेय,"['ढक् प्रत्यये,  तद्धितेष्वचामादेः   7 2 117  इत्यनेन सूत्रेण आदिवृद्धौ च `वैनतेय']"
वैनतेय,['विनतायाः अपत्यं इति विग्रहे स्त्रोभ्यो ढक्  4 1 120  इत्यनेन सूत्रेण']
खगेश्वर,"['खगानां ईश्वरः इति विग्रहे, षष्ठी  2 2 8  इत्यनेन सूत्रेण  तत्पुरुष']"
खगेश्वर,['समासत्वात् खगेश्वर इति रूपं सिध्यति ।']
नागान्तक,"['नागानां अन्तक इति विग्रहे,  षष्ठी   2 2 8  इत्यनेन सूत्रेण  तत्पुरुष']"
नागान्तक,['समासत्वात्  नागान्तक  इति रूपं भवति ।']
विष्णुरथ,['विष्णुरथ इति रूपं सिध्यति ।']
विष्णुरथ,"['विष्णोः रथः इति विग्रहे,  षष्ठी   2 2 8  इत्यनेन सूत्रेण समासत्वात्']"
सुपर्ण,['  अनेकमन्यपदार्थे   2 2 24  इत्यनेन सूत्रेण समासत्वात् सुपर्ण इति रूपं भवति ।']
सुपर्ण,"['शोभनार्थे `सु  इति अव्ययम् । शोभनानि पर्णानि यस्य सः इति विग्रहे,']"
पन्नगाशन,[' युवोरनाकौ   7 1 1  इत्यनेन सूत्रेण `अन  प्रत्यये पन्नगाशन इति रूपं भवति ।']
पन्नगाशन,"['नन्दिग्राहिपचादिभ्योल्युणिन्यचः   3 1 134  इत्यनेन सूत्रेण `ल्युट्  प्रत्यये,']"
पन्नगाशन,['पन्नगानश्नातीति पन्नगशब्दात् विग्रहे पन्नगशब्दात् अश भोजने इति धातोः']
ईश,['`ईश ऐश्वर्ये  इति धातोः  इगुपधज्ञाप्रीकिरः कः   3 1 135  इत्यनेन']
ईश,"['सूत्रेण कः प्रत्यये, ईश इति रूपं सिध्यति ।']"
पशुपति,"['पशूनां पतिः इति विग्रहे,  षष्ठी   2 2 8  इत्यनेन सूत्रेण  तत्पुरुष']"
पशुपति,['समासत्वात् पशुपति इति रूपं भवति ।']
शिव,"[' नन्दिग्राहिपचादिभ्यो ल्युणिन्यचः   3 1 134  इत्यनेन सूत्रेण `अच्  प्रत्यये,']"
शिव,['`शिव  इति रूपं सिध्यति ।']
शिव,['अच् प्रत्यये `शिव  इति रूपं सिध्यति ।']
शिव,"['शिवं अस्यास्तीति विग्रहे,  अर्शआदिभ्यो।़च्   5 2 127  इत्यनेन सूत्रेण']"
शिव,"['शिवयतीति अर्थे,  तत्करोति तदाचाष्टे   वा.2 1 2  इत्यनेन ण्यन्तात्,']"
शूलिन्,"['शूलमस्यास्तीति विग्रहे, शूलशब्दात्  अत इनि ठनौ   5 2 115  इत्यनेन']"
शूलिन्,['सूत्रेण `इन्  प्रत्यये शूली इति रूपं भवति ।']
महेश्वर,[' 2 1 61  इत्यनेन सूत्रेण तत्पुरुष समासत्वात् `महेश्वर  इति रूपं सिध्यति ।']
महेश्वर,"['महांश्चासौ ईश्वरश्च इति विग्रहे,  सन्महत्परमोत्तमोत्कृष्टाः पूज्यामानैः']"
ईश्वर,[' ईश ऐश्वर्ये  इति धातोः  स्थेशभासपिसकसो वरच्   3 2 175  इत्यनेन सूत्रेण']
ईश्वर,['`वरच्  प्रत्यये `ईश्वर  इति रूपं भवति ।']
शर्व,[' श्रृ हिंसायां  इति धातोः  कृगृशृदृभ्यो वः   उ. 1 155  इत्यनेन सूत्रेण']
शर्व,"['`व  प्रत्यये, शर्व इति रूपं भवति ।']"
ईशान,"['`ईष्टे  तच्छीलः इत्यस्मिन्नर्थे `ईश ऐश्वर्योः  इति धातोः,  ताच्छील्यवयो']"
ईशान,['रूपं भवति ।']
ईशान,['वचनशक्तिषु चानच्   3 2 129  इत्यनेन सूत्रेण `शानच्  प्रत्यये `ईशान  इति']
चन्द्रशेखर,['चन्द्रः शेखरो यस्य इति विग्रहे  अनेकमन्यपदार्थे   2 2 24  इत्यनेन सूत्रेण']
चन्द्रशेखर,['बहुव्रीहि समासत्वात् `चन्द्रशेखर  इत रूपं सिध्यति ।']
भूतेश,['`भू  सतायां इति धातोः  निष्ठा   3 2 102  इत्यनेन सूत्रेण `क्त  प्रत्यये']
भूतेश,"['`भूत  इति रूपं भवति । तेषां  भूतानां  ईशः इति विग्रहे, षष्ठी  2 1 8  इत्यनेन']"
भूतेश,['सूत्रेण  तत्पुरुष  समासत्वात् `भूतेष  इति रूपं भवति ।']
खण्डपरशु,[' इदितो नुम् धातोः   7 1 58  इत्यनेन सूत्रेण इकारस्य नुम् प्रत्यये आगमे']
खण्डपरशु,['इत्यनेन सूत्रेण समासत्वात् `खण्डपरशु  इति रूपं सिध्यति ।']
खण्डपरशु,"['खडि भेदने इति धातोः भावे  3 3 18  इत्यनेन सूत्रेण घञ् प्रत्यये,']"
खण्डपरशु,['खण्डयति इति रूपम् ।']
खण्डपरशु,"['खण्डयतीति खण्डः, तादृश परश अस्य इति विग्रहे,  अनेकमव्यपदार्थे   2 2 24']"
गिरीश,"[' 5 2 100  इत्यनेन सूत्रेण शः प्रत्यये, गिरीश इति रूपं भवति ।']"
गिरीश,['इति रूपं सिध्यति ।']
गिरीश,"['गिरिः अस्याश्रयत्वेन इति विग्रहे,  लोमादिपामादिपिच्छादिभ्यः शनेलचः']"
गिरीश,"['गिरे ईशः इति विग्रहे, `षष्ठी   2 2 8  इत्यनेन सूत्रेण समासत्वात् गिरीश']"
गिरिश,"['गिरौ शेते इति विग्रहे, गिरौ  डश्छन्दसि   वा.3 2 15  इत्यनेन वार्तिकेन']"
गिरिश,"['शः प्रत्यये, गिरिश इति रूपं सिध्यति ।']"
मृड,"['`मृड सुखने  इति धातोः, इगुपधज्ञाप्रीकिरः कः  3 1 135  इत्यनेन सत्रेण']"
मृड,['कः प्रत्यये `मृड  इति रूपं सिध्यति ।']
कृत्तिवासस्,"['कृत्तिः वासः यस्य इति विग्रहे,  अनेकमन्यपदार्थे   2 2 24  इत्यनेन']"
कृत्तिवासस्,['सूत्रेण बहुव्रीहि समासत्वात् `कृत्तिवास  इति रूपं सिध्यति ।']
पिनाकिन्,['`इन्  प्रत्यये `पिनाकिन्  इति रूपं सिध्यति ।']
पिनाकिन्,"['पिनाक अस्यास्तीति विग्रहे,  अतइति ठनौ   5 2 125  इत्यनेन सूत्रेण']"
प्रमथाधिप,[' षष्ठी   2 2 8  इत्यनेन सूत्रेण  तत्पुरुष  समासः ।']
उग्र,['`उच समवाये  इति धातोः  ऋज्रेन्द्राग्रवज्रविप्रकुब्रुचुब्रक्षुरखुर भद्रोग्र']
उग्र,['भवति । उग्र इति रूपम् भवति ।']
उग्र,['भेरभेलशुकशुक्लनोरवन्रेरामालाः   उ.2 28  इत्यनेन उणादि सूत्रेण रन् गश्चान्तादेशः']
कपर्दिन्,[' अतइनिठनौ   5 2 125  इत्यनेन सूत्रेण `इन्  प्रत्यये यस्येति च  6 4 184']
कपर्दिन्,['इत्यनेन अकार लोपे कपर्दिन् इति रूपं सिध्यति ।']
श्रीकण्ठ,[' अनेकमन्यपदार्थे   2 2 24  इत्यनेन सूत्रेण  बहुव्रीहि  समासं ।']
शितिकण्ठ,[' अनेकमन्यपदार्थे   2 2 24  इत्यनेन सूत्रेण  बहुव्रीहि  समासं ।']
कपालभृत्,['कपाल शब्दात् डु भृञ् भरणे इति धातोः  क्विप् च   3 1 76  इत्यनेन']
कपालभृत्,['तुकणमे कपालभृत् इति रूपं सिध्यति ।']
कपालभृत्,"['सूत्रेण `क्विप्  प्रत्यये, ह्रस्वस्य पिति कृति तुक्  6 1 71  इत्यनेन सूत्रेण']"
वामदेव,[' तत्पुरुष समानाधिकरणः कर्मधारयः   1 2 41  इत्यनेन सूत्रेण  कर्मधारय']
वामदेव,['समासः ।']
महादेव,[' आत्महतसमानाधिकरणजातीययोः   6 3 46  इत्यनेन सूत्रेण  कर्मधारय  समासः ।']
विरूपाक्ष,"[' 5 4 123  इत्यनेन सूत्रेण  बहुव्रीहि  समासत्वात् `षच्  प्रत्यये, `विरूपाक्ष']"
विरूपाक्ष,['`वि  अव्यय पूर्वक अक्षिन् शब्दात्  बहुव्रीहिसक्थ्यक्षणोः स्वाङ्गात्षच्']
विरूपाक्ष,['इति रूपं सिध्यति ।']
त्रिलोचन,['अनेकमव्यपदार्थे  2 2 24  इत्यनेन सूत्रेण समासः ।']
कृशानुरेतस्,[' अनेकमव्यपदार्थे   2 2 24  इत्यनेन सूत्रेण समासः ।']
धूर्जटि,"['`इन्  प्रत्यये, `धूर्जटि  इति रूपं सिध्यति ।']"
धूर्जटि,['धूः उपपद पूर्वक जटा शब्दात्  सर्वधातुभ्य इन्   उ. 4 118  इत्यनेन सूत्रेण']
नीललोहित,[' तत्पुरुषः समानाधिकरण कर्मधारयणः   1 2 41  इत्यनेन सूत्रेण  कर्मधारय']
नीललोहित,['समासः ।']
हर,"['`अच्  प्रत्यये, हर इति रूपं सिध्यति ।']"
हर,['`हृञ् हरणे  इति धातोः  हस्तेस्नुद्यमने।़च्   3 2 9  इत्यनेन सूत्रेण']
हर,['प्रत्यये `हर  इति रूपं सिध्यति ।']
हर,['हृञ्\u200cहरणे इति धातोः  नन्दिग्राहिपचादिभ्योल्यणिन्यचः इत्यनेन सूत्रेण `अच']
भव,['`एचोयवायावः   6 1 78  इत्यनेन अवादेशे भव इति रूपं सिध्यति ।']
भव,['प्रत्यये  अथवा ऋतोरप्  3 3 57  इत्यनेन अप् प्रत्यये  कृत्यल्युटोर्बहुलम् इत्यनेन']
भव,['भू धातोः नन्दिग्राहिपचादिभ्यो ल्युणिन्यचः  3 1 134  इत्यनेन सूत्रेण अच्']
भव,"['सूत्रेण अप् प्रत्यये, ओर्गुणः  6 4 346  इत्यनेन सूत्रेण उकारस्य ओकारे,']"
भीम,['ञिभी भये  इति धातोः `भियः षुग्वा   उ. 1 148  इत्यनेन सूत्रेण `म']
भीम,['ञिभी भये धातोः  भीमादयो।़पादाने   3 4 74  इत्यनेन सूत्रेण `म  प्रत्यये']
भीम,['प्रत्यये `भीम  इति रूपं सिध्यति ।']
भीम,['भीम इति रूपं भवति ।']
स्थाणु,['इति रूपं सिध्यति ।']
स्थाणु,"['स्था धातोः,  स्थोणुः   उ.3 37  इत्यनेन सूत्रे `णु  प्रत्यये, `स्थाणु']"
कपर्द,"['इत्यनेन सूत्रेण क्विप् प्रत्यये,  शल्लोपः   6 4 21  इत्यनेन सूत्रेण वकार लोपे,']"
कपर्द,"['कं उपपदपूर्वक `पर्वपूरणे  इति धातोः,  संपदादिभ्यः क्विप्   वा. 3 3 108']"
कपर्द,"['केन जलेन पूर्तिं ददाति इति विग्रहे, `सुपि स्थः   3 2 4  इत्यनेन सूत्रेण `कः']"
कपर्द,"['प्रत्यये,  कं+पर्+द+अ  `कपर्द  इति रूपं सिध्यति ।']"
पिनाक,"['पातीति पिनाकः इत्यस्मिन्नर्थे,  पिनाकादयश्च   उ.4 15  इत्यनेन  उणादि']"
पिनाक,"['सूत्रेण पातेः अक इत्वं, नुम् च प्राप्ते, पिनाक इति रूपं भवति ।']"
अजगव,['अजेन गम्यते इत्यस्मिन्नर्थे अजपूर्वपद गम् धातो अन्ता त्यान्ताध्वद्वरपार']
अजगव,"['गात्संज्ञायाम्   5 2 110  इत्यनेन वः प्रत्यये, `अजगव  इति रूपं सिध्यति ।']"
अजगव,"['सर्वाननन्तेशु  डः  3 2 48  इत्यनेन सूत्रेण गम् धातोः डः प्रत्यये, गाण्डयज']"
प्रमथ,['`प्र  उपसर्ग पूर्वक `मथे विलेडनॆ  इति धातोः `रवनो घ च   3 3 125']
प्रमथ,"['`प्र  उपसर्गपूर्वक, `मर्थे विलोडने  इति धातोः,  नन्दिग्राहि पचादिभ्यो']"
प्रमथ,"['इत्यनेन सूत्रेण घ प्रत्यये, `प्रमथ  इति रूपं सिध्यति ।']"
प्रमथ,"['ल्युणिण्यचः   3 1 134  इत्यनेन सूत्रेण अच् प्रत्यये, `प्रमथ  इति रूपं सिध्यति ।']"
पारिषद,['इति रूपं सिध्यति ।']
पारिषद,"['परिषदि साधः इत्यस्मिन्नर्थे,  परिषदोण्यः   4 4 101  इत्यनेन सूत्रेण `ण्य']"
पारिषद,"['प्रत्यये,  तद्धितेष्वचामादेः   7 2 117  इत्यनेन सूत्रेण आदिवृद्धौ च `पारिषद']"
मातृ,"[' उ. 2 95  इत्यनेन सूत्रेण तृच् प्रत्यये, `मातृ  इति रूपं भवति ।']"
मातृ,[' मान पूजायां  इति धातोः  नातृनेषृत्वष्टुहोतृपोतृभ्रातृजामातृमातृपितृदुहितृ']
ब्राह्मी,"[' 7 2 117  इत्यनेन सूत्रेण आदिवृद्धौ, स्त्रियां ङीप्  टिड्ढाणञ्द्वयसज्दध्नञ्']"
ब्राह्मी,[' मात्रच्तयप्ठक्ठञ्कञ् क्वरपः   4 1 15  प्रत्यये `ब्राह्मी  इति रूपं भवति ।']
ब्राह्मी,"['प्रत्यये,  ब्राह्मो जातौ   6 4 171  इत्यनेन सूत्रेण टिलोपे, `तद्धितेष्वचामादेः']"
ब्राह्मी,"['ब्रह्मण इयं इति विग्रहे,  तस्येदम्   4 3 120  इत्यनेन सूत्रेण अण्']"
माहेश्वरी,"[' तद्धितेष्वचामादे   7 2 117  इत्यनेन सूत्रेण आदिवृद्धौ,  टिड्\u200cढाणञ् द्वयसज्\u200cदघ्नञ्']"
माहेश्वरी,"[' मात्रच्\u200cतयप्\u200cठक्\u200cठञ्\u200cकञ् क्वरपः   4 1 15  इत्यनेन सूत्रेण ङीप् प्रत्यये,']"
माहेश्वरी,"['महेश्वर शब्दात् तस्येदम्  4 3 120  इत्यनेन सूत्रेण अण् प्रत्यये,']"
माहेश्वरी,['माहेश्वरी इति रूपं भवति ।']
कौमारी,"[' 7 2 117  इत्यनेन सूत्रेण आदिवृद्धौ, टिड्\u200cढाणञ्\u200cद्वयसज्\u200cघ्नञ्\u200cमात्रच्\u200cतयप्\u200cठक्\u200c']"
कौमारी,['इति रूपं भवति ।']
कौमारी,"['कुमार शब्दात् तस्यादं  4 3 120  इत्यनेन सूत्रेण अण् प्रत्यये,  तद्धितेष्वचामादेः']"
कौमारी,['ठञ्\u200cकञ् क्वरपः  4 1 15  इत्यनेन सूत्रेण ङीप् प्रत्यये `कौमारी']
वैष्णवी,"['इत्यनेन उकारस्य वकारे तद्धितेष्वचामादेः  7 2 117  इत्यनेन सूत्रेण आदिवृद्धौ,']"
वैष्णवी,['ङीप् प्रत्यये  वैष्णवी  इति रूपं भवति ।']
वैष्णवी,['टिड्\u200cढाणञ्\u200cद्वयसज्\u200cदघ्नञ्\u200cमात्रच्\u200cतयप्\u200cठक्\u200cठञ्\u200cकञ्\u200c क्वरपः  4 1 15  इत्यनेन सूत्रेण']
वैष्णवी,['विष्णुशब्दात् तस्येदं  4 3 120  इत्यनेन सूत्रेण अण् प्रत्यये इकोयणचि']
इन्द्राणि,"[' 4 1 41  इत्यनेन सूत्रेण आनुगामे, ङीष् प्रत्यये च इन्द्राणो इति रूपं सिध्यति ।']"
इन्द्राणि,['इन्द्र शब्दात्  इन्द्रवरुणभवशर्वरुद्रमृडहिमारण्ययवयवनमातुलाचार्याणां आनुक्']
चामुण्डा,"['चामुण्ड शब्दात् अनाद्यदष्टाप्  4 1 4  इत्यनेन सूत्रेण टाप् प्रत्यये,']"
चामुण्डा,['चामुण्डा इति रूपं भवति ।']
विभूति,"[' 3 3 94  इत्यनेन सूत्रेण क्तिन् प्रत्यये, `विभूति  इति रूपं सिध्यति ।']"
विभूति,['वि उपसर्ग पूर्वक भू धातोः  क्तिच् क्तौ च संज्ञायां   3 3 174  इत्यनेन']
विभूति,['विशेषार्थे वि इति अव्ययम् । वि उपसर्ग पूर्वक `भू  धातोः  स्त्रियां क्तिन्']
विभूति,"['सूत्रेण  क्तिच्  प्रत्यये, विभूति इति रूपं सिध्यति ।']"
भूति,['`भू  धातोः स्त्रियां क्तिन्  3 3 94   भू+क्तिन्  विभूति इति रूपं सिध्यति ।']
भूति,"['प्रत्यये, विभूति इति रूपं सिध्यति ।']"
